id,type,principal,date,location id,cleric
166470-1014-7-E1,baptism,166470-P00395,1830-12-20,166470-L1,166470-P00715
166470-1014-7-E2,birth,166470-P00395,1830-12-20,,
166470-1015-1-E1,baptism,166470-P00396,1830-12-20,166470-L1,166470-P00715
166470-1015-2-E1,baptism,166470-P00401,1830-12-20,166470-L1,166470-P00715
166470-1015-3-E1,baptism,166470-P00402,1830-12-20,166470-L1,166470-P00715
166470-1015-4-E1,baptism,166470-P00403,1830-12-20,166470-L1,166470-P00715
166470-1015-5-E1,baptism,166470-P00404,1830-12-20,166470-L1,166470-P00715
166470-1015-6-E1,baptism,166470-P00405,1830-12-20,166470-L1,166470-P00715
166470-1015-7-E1,baptism,166470-P00406,1830-12-20,166470-L1,166470-P00715
166470-1015-8-E1,baptism,166470-P00407,1830-12-20,166470-L1,166470-P00715
166470-1016-1-E1,baptism,166470-P00408,1830-12-20,166470-L1,166470-P00715
166470-1016-2-E1,baptism,166470-P00409,1830-12-20,166470-L1,166470-P00715
166470-1016-3-E1,baptism,166470-P00411,1830-12-20,166470-L1,166470-P00715
166470-1016-3-E2,birth,166470-P00411,1830-12-20,,
166470-1016-4-E1,baptism,166470-P00421,1830-12-20,166470-L1,166470-P00715
166470-1016-4-E2,birth,166470-P00421,1831-09-20/,,
166470-1016-5-E1,baptism,166470-P00422,1830-01-01,166470-L1,166470-P00429
166470-1016-5-E2,birth,166470-P00422,1831-11-20/,,
166470-1016-6-E1,baptism,166470-P00430,1830-01-02,166470-L1,166470-P00715
166470-1016-6-E2,birth,166470-P00430,1830-12-20,,
166470-1016-7-E1,baptism,166470-P00445,1830-01-04,166470-L1,166470-P00715
166470-1016-7-E2,birth,166470-P00445,1831-09-07/,,
166470-1017-1-E1,baptism,166470-P00446,1830-01-04,166470-L1,166470-P00715
166470-1017-1-E2,birth,166470-P00446,1831-10-12/,,
166470-1017-2-E1,baptism,166470-P00452,1830-01-05,166470-L1,166470-P00715
166470-1017-2-E2,birth,166470-P00452,1831-09-15/,,
166470-1017-3-E1,baptism,166470-P00461,1830-01-06,166470-L1,166470-P00715
166470-1017-4-E1,baptism,166470-P00466,1830-01-12,166470-L1,166470-P00715
166470-1017-4-E2,birth,166470-P00466,1831-11-08/,,
166470-1017-5-E1,baptism,166470-P00467,1830-01-10,166470-L1,166470-P00715
166470-1017-6-E1,baptism,166470-P00475,1830-01-10,166470-L1,166470-P00715
166470-1017-6-E2,birth,166470-P00475,1831-11-14/,,
166470-1017-7-E1,baptism,166470-P00483,1830-01-10,166470-L1,166470-P00715
166470-1017-7-E2,birth,166470-P00483,1831-11-14/,,
166470-1018-1-E1,baptism,166470-P00489,1830-01-20,166470-L1,166470-P00715
166470-1018-2-E1,baptism,166470-P00503,1830-12-08/1830-12-08,166470-L1,166470-P00715
166470-1018-2-E2,birth,166470-P00503,1830-12-08/1830-12-08,,
166470-1018-3-E1,baptism,166470-P00504,1830-01-20,166470-L1,166470-P00715
166470-1018-4-E1,baptism,166470-P00516,1830-01-20,166470-L1,166470-P00715
166470-1018-4-E2,birth,166470-P00516,1831-11-20/,,
166470-1018-5-E1,baptism,166470-P00517,1830-01-30,166470-L1,166470-P00715
166470-1018-5-E2,birth,166470-P00517,1830-12-20,,
166470-1018-6-E1,baptism,166470-P00528,1830-02-03,166470-L1,166470-P00715
166470-1018-6-E2,birth,166470-P00528,1830-12-10,,
166470-1018-7-E1,baptism,166470-P00538,1830-02-06,166470-L1,166470-P00715
166470-1018-7-E2,birth,166470-P00538,1830-12-20,,
166470-1019-1-E1,baptism,166470-P00539,1830-12-20/,166470-L1,166470-P00715
166470-1019-1-E2,birth,166470-P00539,1830-12-02/,,
166470-1019-2-E1,baptism,166470-P00548,1830-12-20/,166470-L1,166470-P00715
166470-1019-2-E2,birth,166470-P00548,1831-09-01/,,
166470-1019-3-E1,baptism,166470-P00550,1830-02-10,166470-L1,166470-P00715
166470-1019-3-E2,birth,166470-P00550,1830-12-11,,
166470-1019-4-E1,baptism,166470-P00564,1830-12-20/,166470-L1,166470-P00715
166470-1019-4-E2,birth,166470-P00564,1831-01-06/,,
166470-1019-5-E1,baptism,166470-P00570,1830-02-15,166470-L1,166470-P00715
166470-1019-5-E2,birth,166470-P00570,1831-10-20/,,
166470-1019-6-E1,baptism,166470-P00578,1831-02-10/,166470-L1,166470-P00715
166470-1019-6-E2,birth,166470-P00578,1831-01-02/,,
166470-1020-1-E1,baptism,166470-P00581,1830-02-10,166470-L1,166470-P00715
166470-1020-1-E2,birth,166470-P00581,1830-12-10,,
166470-1020-2-E1,baptism,166470-P00591,1831-02-20/,166470-L1,166470-P00715
166470-1020-2-E2,birth,166470-P00591,1830-12-07/,,
166470-1020-3-E1,baptism,166470-P00595,1830-03-02,166470-L1,166470-P00715
166470-1020-3-E2,birth,166470-P00595,1831-11-10/,,
166470-1020-4-E1,baptism,166470-P00596,1830-03-04,166470-L1,166470-P00715
166470-1020-4-E2,birth,166470-P00596,1830-11-29/1830-12-20,,
166470-1020-5-E1,baptism,166470-P00605,1830-03-08,166470-L1,166470-P00715
